job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hà Nội,location_Hồ Chí Minh,location_Đồng Nai,location_Bình Dương,location_Hải Dương,location_Đà Nẵng,industry_CNTT - Phần mềm,industry_Kế toán / Kiểm toán,industry_Tài chính / Đầu tư,industry_Ngân hàng,industry_Dịch vụ khách hàng,industry_Thống kê,industry_Ngành khác,industry_Bán hàng / Kinh doanh,industry_Nhân sự,industry_Sản xuất / Vận hành sản xuất,industry_CNTT - Phần cứng / Mạng,industry_Bưu chính viễn thông,industry_Tiếp thị / Marketing,industry_Hành chính / Thư ký,industry_Tiếp thị trực tuyến,industry_Bất động sản,industry_Quản lý điều hành,industry_Bảo hiểm,industry_Biên phiên dịch,industry_Dược phẩm,industry_Chứng khoán,industry_Vận chuyển / Giao nhận /Kho vận,industry_Thu mua / Vật tư,industry_Thực phẩm & Đồ uống,industry_Mới tốt nghiệp / Thực tập,industry_Tư vấn,industry_Bán lẻ / Bán sỉ,industry_Dệt may / Da giày / Thời trang,industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Luật / Pháp lý,industry_Cơ khí / Ô tô / Tự động hóa,industry_Quản lý chất lượng (QA/QC),industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Giải trí,industry_Y tế / Chăm sóc sức khỏe,job_id
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35BDF7D4.html,data analyst,CÔNG TY TNHH GIMASYS,Hà Nội,2023-12-08,2023-11-09,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDF7D4
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35BEF341.html,data analyst,Công ty Cổ phần CANIFA,Hà Nội,2023-11-30,2023-11-17,Nhân viên chính thức,10 Tr - 22 Tr VND,Nhân viên,10.0,22.0,VND,2.0,10.0,năm,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF341
https://careerbuilder.vn/vi/tim-viec-lam/sales-analyst-data-analyst.35BE0428.html,sales analyst/ data analyst,CÔNG TY TNHH TALENTVIS VIỆT NAM,Hà Nội,2023-12-12,2023-11-13,Nhân viên chính thức,30 Tr - 40 Tr VND,Nhân viên,30.0,40.0,VND,3.0,6.0,năm,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE0428
https://careerbuilder.vn/vi/tim-viec-lam/workforce-management-data-analyst.35BED9B3.html,workforce management(data analyst),Vietnam Concentrix Services Company Limited,Hồ Chí Minh,2023-11-30,2023-11-06,Nhân viên chính thức,16 Tr - 18 Tr VND,Nhân viên,16.0,18.0,VND,1.0,,năm,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BED9B3
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-workforce-management-analyst-supervisor.35BE11A1.html,data analyst/ workforce management analyst supervisor,CHI NHÁNH CÔNG TY TNHH TRANSCOSMOS VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,Hồ Chí Minh,2023-11-30,2023-11-03,Nhân viên chính thức,25 Tr - 30 Tr VND,Trưởng nhóm / Giám sát,25.0,30.0,VND,3.0,5.0,năm,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE11A1
https://careerbuilder.vn/vi/tim-viec-lam/hr-data-analyst-specialist.35BEE606.html,hr data analyst specialist,CÔNG TY CỔ PHẦN GONSA,Hồ Chí Minh,2023-12-03,2023-11-04,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,2.0,3.0,năm,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE606
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-data-analyst.35BE10E6.html,chuyên viên data analyst,Công Ty Cổ Phần Vacxin Việt Nam,Hồ Chí Minh,,2023-10-20,Nhân viên chính thức,13 Tr - 18 Tr VND,Nhân viên,13.0,18.0,VND,1.0,2.0,năm,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE10E6
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-data-analyst.35BEE496.html,nhân viên data analyst,Công Ty Cổ Phần Vacxin Việt Nam,Hồ Chí Minh,2023-11-26,2023-11-03,Nhân viên chính thức,15 Tr - 20 Tr VND,Nhân viên,15.0,20.0,VND,1.0,2.0,năm,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE496
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-analyst.35BE0D20.html,senior data analyst,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,2023-12-17,2023-11-18,Nhân viên chính thức,22 Tr - 30 Tr VND,Nhân viên,22.0,30.0,VND,2.0,4.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE0D20
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-executive.35BDF721.html,data analyst executive,Công ty TNHH Olam Việt Nam - Chi Nhánh Long Bình,Đồng Nai,2023-12-08,2023-11-09,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,5.0,10.0,năm,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDF721
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-analyst.35BEF4FD.html,senior data analyst,Yes4All Trading Services Company Limited,Hồ Chí Minh,2023-12-11,2023-11-19,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,3.0,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF4FD
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-workforce-management-analyst-six-months-contract.35BE124E.html,data analyst/ workforce management analyst (six-months contract),CHI NHÁNH CÔNG TY TNHH TRANSCOSMOS VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,Hồ Chí Minh,2023-11-21,2023-10-28,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,,đến1năm,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE124E
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-analyst-growth-marketing.35BEF840.html,"senior data analyst, growth & marketing",Công ty Cổ phần Dịch vụ Di Động Trực tuyến (Ví MoMo),Hồ Chí Minh,2023-12-15,2023-11-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,,năm,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF840
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-khoi-du-lieu.35BEE31B.html,data analyst - khối dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-12-31,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,5.0,năm,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE31B
https://careerbuilder.vn/vi/tim-viec-lam/middle-senior-data-analyst.35BEF788.html,middle/senior data analyst,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,2023-12-31,2023-11-13,Nhân viên chính thức,20 Tr - 32 Tr VND,Nhân viên,20.0,32.0,VND,2.0,5.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF788
https://careerbuilder.vn/vi/tim-viec-lam/payroll-coordinator-cum-hr-data-analyst.35BEE1A3.html,payroll coordinator cum hr data analyst,VINA-BAT JOINT VENTURE COMPANY LIMITED,Hồ Chí Minh,2023-12-01,2023-11-01,Nhân viên chính thức,19 Tr - 25 Tr VND,Nhân viên,19.0,25.0,VND,2.0,,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE1A3
https://careerbuilder.vn/vi/tim-viec-lam/hn-chuyen-vien-phan-tich-du-lieu-data-analyst.35BE1F06.html,[hn] chuyên viên phân tích dữ liệu (data analyst),Công ty Cổ phần tập đoàn Vinatech Việt Nam,Hà Nội,2023-11-30,2023-11-02,Nhân viên chính thức,15 Tr - 30 Tr VND,Nhân viên,15.0,30.0,VND,2.0,3.0,năm,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE1F06
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-data-analyst.35BE156C.html,chuyên viên phân tích dữ liệu (data analyst),Công ty Cổ phần CANIFA,Hà Nội,,2023-10-23,Nhân viên chính thức,11 Tr - 23 Tr VND,Nhân viên,11.0,23.0,VND,2.0,10.0,năm,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE156C
https://careerbuilder.vn/vi/tim-viec-lam/r-d-data-analyst-chuyen-vien-du-lieu-r-d.35BF00BC.html,r&d data analyst – chuyên viên dữ liệu r&d,CÔNG TY CỔ PHẦN MAYCHA,Hồ Chí Minh,2023-12-17,2023-11-17,Nhân viên chính thức,10 Tr - 15 Tr VND,Nhân viên,10.0,15.0,VND,2.0,,năm,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF00BC
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-18tr-28tr.35BEE5EE.html,data analyst (18tr - 28tr),Công ty TNHH Thiên Thủy Mộc,Hồ Chí Minh,2023-11-30,2023-11-10,Nhân viên chính thức,18 Tr - 30 Tr VND,Nhân viên,18.0,30.0,VND,2.0,5.0,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE5EE
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-database-administrator.35BDEACF.html,chuyên viên quản trị cơ sở dữ liệu (database administrator),CÔNG TY TÀI CHÍNH BƯU ĐIỆN,Hà Nội,2023-12-01,2023-11-02,Nhân viên chính thức,18 Tr - 23 Tr VND,Nhân viên,18.0,23.0,VND,1.0,3.0,năm,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDEACF
https://careerbuilder.vn/vi/tim-viec-lam/cv-nv-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BEF9EE.html,cv/nv quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân hàng Việt Nam Thương Tín,Hồ Chí Minh,2023-12-31,2023-11-16,Nhân viên chính thức,10 Tr - 30 Tr VND,Nhân viên,10.0,30.0,VND,1.0,3.0,3năm,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF9EE
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-ung-dung-va-quan-tri-co-so-du-lieu.35BDB143.html,chuyên viên phát triển ứng dụng và quản trị cơ sở dữ liệu,Công Ty Cổ Phần Địa Ốc Phú Long,Hồ Chí Minh,2023-11-28,2023-10-30,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,5.0,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDB143
https://careerbuilder.vn/vi/tim-viec-lam/data-report-team-leader.35BEDBE7.html,data report team leader,Vietnam Concentrix Services Company Limited,Hồ Chí Minh,2023-11-30,2023-11-13,Nhân viên chính thức,19 Tr - 23 Tr VND,Trưởng nhóm / Giám sát,19.0,23.0,VND,1.0,3.0,năm,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEDBE7
https://careerbuilder.vn/vi/tim-viec-lam/workforce-management-supervisor.35BED5F0.html,workforce management supervisor,Vietnam Concentrix Services Company Limited,Hồ Chí Minh,2023-11-27,2023-11-17,Nhân viên chính thức,20 Tr - 31 Tr VND,Trưởng nhóm / Giám sát,20.0,31.0,VND,1.0,,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BED5F0
https://careerbuilder.vn/vi/tim-viec-lam/program-analyst-senior-executive-database-developer.35BEDB71.html,program analyst senior executive (database developer),Hanwha Life Insurance Company Limited (Vietnam),Hồ Chí Minh,2023-12-03,2023-11-13,Nhân viên chính thức,1.000 - 1.500 USD,Nhân viên,1.0,1.5,USD,3.0,5.0,năm,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEDB71
https://careerbuilder.vn/vi/tim-viec-lam/ict-system-database-administrator.35BEFBAB.html,ict system & database administrator,Indo Trans Logistics,Hồ Chí Minh,2023-12-15,2023-11-15,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEFBAB
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-quan-tri-co-so-du-lieu-dba.35BDA14F.html,trưởng nhóm quản trị cơ sở dữ liệu (dba),"HD Saison Finance Co., Ltd",Hồ Chí Minh,2023-11-19,2023-10-21,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,3.0,5.0,năm,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA14F
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-nghien-cuu-va-phat-trien-san-pham-tenology-r-d.35BDD07F.html,chuyên viên nghiên cứu và phát triển sản phẩm (tenology r&d),TAKI GROUP,Hà Nội,2023-12-17,2023-11-18,Nhân viên chính thức,15 Tr - 25 Tr VND,Nhân viên,15.0,25.0,VND,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD07F
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xu-ly-du-lieu.35BEF14D.html,nhân viên xử lý dữ liệu,Wanek Furniture,Bình Dương,2023-12-09,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,,năm,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF14D
https://careerbuilder.vn/vi/tim-viec-lam/data-science-manager.35BDA15F.html,data science manager,"HD Saison Finance Co., Ltd",Hồ Chí Minh,2023-11-19,2023-10-21,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,3.0,5.0,năm,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDA15F
https://careerbuilder.vn/vi/tim-viec-lam/sales-planning-and-performance-analyst.35BE0867.html,sales planning and performance analyst,Yes4All Trading Services Company Limited,Hồ Chí Minh,2023-12-15,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE0867
https://careerbuilder.vn/vi/tim-viec-lam/data-operation-engineer.35BEF61A.html,data operation engineer,Tổng công ty Cổ phần Bảo hiểm Bưu điện,Hà Nội,2023-11-30,2023-11-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF61A
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-chuyen-vien-cao-cap-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BDB984.html,chuyên gia/chuyên viên cao cấp quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-12-04,2023-11-05,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,5.0,8.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDB984
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35BDC031.html,"chuyên viên quản trị cơ sở dữ liệu, phòng mis, khối tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-12-07,2023-11-08,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC031
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-van-hanh-ung-dung-k-cntt.35BDFE75.html,chuyên viên quản trị cơ sở dữ liệu - phòng vận hành ứng dụng - k.cntt,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-12-10,2023-11-11,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDFE75
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-van-hanh-ung-dung-k-cntt.35BEEB4D.html,chuyên viên quản trị cơ sở dữ liệu - phòng vận hành ứng dụng - k.cntt,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-11-30,2023-11-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEEB4D
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-chuyen-vien-cao-cap-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BEDC59.html,chuyên gia/chuyên viên cao cấp quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-11-30,2023-11-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEDC59
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35BE13C6.html,"chuyên viên quản trị cơ sở dữ liệu, phòng mis, khối tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-11-23,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE13C6
